sessionid,query,responsetime,confidencescore,createddate
CHAT-20260706-057663-VTABRB,resident households monthly,7920,0.65,2026-07-01 01:18:29
CHAT-20260714-177094-JURVEV,retail sales,11127,0.08,2026-07-01 04:30:56
CHAT-20260701-231628-ELVUSK,unemployment rate,6314,0.67,2026-07-01 06:27:17
CHAT-20260709-200512-ESZRPG,population by age by gender,13661,0.56,2026-07-01 07:29:43
CHAT-20260702-150216-MUMRUN,covid19,1999,0.09,2026-07-01 09:18:34
CHAT-20260704-210796-LQOCVI,CPI 2024 monthly,1900,0.61,2026-07-01 09:56:22
CHAT-20260712-065492-SHHIHD,CPI 2024,10800,0.99,2026-07-02 05:04:16
CHAT-20260708-148167-TMDQQJ,labour force last 5 years,5610,0.44,2026-07-02 05:36:25
CHAT-20260714-177094-JURVEV,median salary by gender,1770,0.24,2026-07-02 06:10:04
CHAT-20260702-109713-WLXCPR,education statistics,2839,0.19,2026-07-02 07:57:30
CHAT-20260702-109713-WLXCPR,household expenditure by gender,7269,0.68,2026-07-02 08:01:26
CHAT-20260704-203592-BANEHI,household income,13679,0.71,2026-07-02 17:28:09
CHAT-20260701-137635-XXQMQJ,consumer spending last 5 years,12745,0.24,2026-07-02 17:36:39
CHAT-20260714-218535-KZZOVL,imports and exports by age,14558,0.92,2026-07-02 20:11:24
CHAT-20260710-156308-OACHXD,unemployment rate by age,14253,0.67,2026-07-02 22:47:11
CHAT-20260705-235155-EAZOPP,health expenditure last 5 years,8351,0.93,2026-07-03 14:29:38
CHAT-20260703-106207-KGSVEZ,GDP by industry last 5 years,13792,0.78,2026-07-03 18:32:16
CHAT-20260703-106207-KGSVEZ,labour force,9129,0.63,2026-07-03 22:05:24
CHAT-20260705-169346-XWRONW,resident households,12371,0.09,2026-07-03 22:27:01
CHAT-20260702-144541-QSCYUY,median salary Singapore,8067,0.8,2026-07-03 23:05:26
CHAT-20260705-120758-GTLKSE,CPI 2024,13562,0.36,2026-07-04 04:14:31
CHAT-20260710-009924-VXPGEI,health expenditure monthly,13759,0.19,2026-07-04 12:14:57
CHAT-20260701-231628-ELVUSK,education statistics,650,0.75,2026-07-04 13:43:49
CHAT-20260712-070476-WROKPF,household income 2025,13949,0.76,2026-07-04 13:46:29
CHAT-20260712-177686-PHUYKU,housing prices,12007,0.21,2026-07-04 18:42:20
CHAT-20260710-141111-LCQZMF,resident households,5243,0.71,2026-07-04 19:04:06
CHAT-20260701-070439-FBNXJI,tourism arrivals last 5 years,1831,0.86,2026-07-04 23:05:49
CHAT-20260710-208916-QBLZVY,economic growth last 5 years,6200,0.13,2026-07-04 23:09:10
CHAT-20260708-020838-DEBOZI,retail sales last 5 years,6193,0.92,2026-07-05 04:53:15
CHAT-20260701-070439-FBNXJI,GDP by industry,10749,0.26,2026-07-05 05:08:07
CHAT-20260704-083296-KNGWME,GDP by industry,8350,0.37,2026-07-05 05:26:10
CHAT-20260707-159229-JIVAEN,imports and exports,11056,0.13,2026-07-05 06:09:24
CHAT-20260701-017248-XBJWWV,imports and exports last 5 years,10561,0.23,2026-07-05 14:21:36
CHAT-20260710-141111-LCQZMF,education statistics,8501,0.96,2026-07-05 17:53:09
CHAT-20260710-141111-LCQZMF,transport usage,9925,0.55,2026-07-05 20:10:05
CHAT-20260701-198963-CEHQSU,economic growth last 5 years,13181,0.5,2026-07-06 00:27:37
CHAT-20260713-187058-GHJZMI,health expenditure by gender,14220,0.69,2026-07-06 13:47:16
CHAT-20260709-059842-JRGNJJ,health expenditure monthly,13636,0.18,2026-07-06 22:32:54
CHAT-20260710-156308-OACHXD,labour force Singapore,5433,0.23,2026-07-07 02:19:16
CHAT-20260712-070476-WROKPF,resident households by gender,12223,0.83,2026-07-07 04:02:55
CHAT-20260705-002298-XPXDFE,GDP by industry,9625,0.42,2026-07-07 08:07:52
CHAT-20260707-159229-JIVAEN,tourism arrivals by gender,2657,0.42,2026-07-07 08:43:57
CHAT-20260704-217935-TQAQVX,population by age by age,5612,0.81,2026-07-07 21:09:07
CHAT-20260713-217677-KNJFUO,inflation rate last 5 years,14100,0.4,2026-07-08 08:26:46
CHAT-20260709-200512-ESZRPG,covid19,13187,0.08,2026-07-09 00:29:46
CHAT-20260714-162192-DNRBPH,education statistics by age,3139,0.61,2026-07-09 07:51:33
CHAT-20260703-000247-PCADXK,GDP by industry last 5 years,13915,0.8,2026-07-09 13:59:39
CHAT-20260710-192434-UHGKVI,labour force,1663,0.63,2026-07-09 14:09:59
